id,primaryTitle,releaseDate,runtimeMinutes,overview,rating,productionBudget,marketingBudget,boxOffice
2440,Lorenzo & Monica,21/03/2012,86,"Missy McCloud is the most beautiful girl in school and Johnny Dingle has been in love with her for years. One night, Johnny is killed trying to win her over, and soon he comes back from the dead, and wins Missy's heart.",6.4,84032,91981,24145
2441,Martial Science,12/06/2013,88,"In a small English village everyone suddenly falls unconscious. When they awake every woman of child bearing age is pregnant. The resulting children have the same strange blond hair, eyes and a strong connection to each other.",4.3,90747,144113,172935
2442,Stealing Roses,14/09/2012,96,"Six children are found spread through out the world that not only have enormous intelligence, but identical intelligence and have a strange bond to each other.",6.4,91429,217542,583258
2443,"Takumi-kun shirîzu: Ano, hareta aozora",14/09/2011,89,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",9,74460,103177,226989
2444,ZR- 7 AKA The Red House Seven,09/12/2011,95,Two college graduates who find themselves stuck behind the counter of a pizza parlor while their friends move on struggle to find a new direction for their lives.,7.2,51760,49595,34716
2445,I'm Beso,09/02/2014,91,The Butcher (known from Noe's short film Carne) has done some time in jail after beating up the guy who tried to seduce his teenage mentally-handicapped daughter. Now he wants to start a new life. He leaves his daughter in an institution and moves to Lille suburbs with his mistress. She promised him a new butcher shop. She lied. The butcher decides to go back to Paris and find his daughter.,5,90373,197146,433721
2446,La clinique de l'amour!,06/03/2012,83,"Ben Holmes, a professional book-jacket blurbologist, is trying to get to Savannah for his wedding. He just barely catches the last plane, but a seagull flies into the engine as the plane is taking off. All later flights are cancelled because of an approaching hurricane, so he is forced to hitch a ride in a Geo Metro with an attractive but eccentric woman named Sara.",6,1509989,3058116,27217940
2447,White Frog,11/05/2012,93,Animated version of the Rodgers and Hammerstein musical about when the King of Siam meets a head strong English school mistress.,4.3,89222,132954,489842
2448,You & Me Forever,01/10/2012,82,"Upon receiving reports of missing persons at Fort Spencer, a remote Army outpost on the Western frontier, Capt. John Boyd investigates. After arriving at his new post, Boyd and his regiment aid a wounded frontiersman who recounts a horrifying tale of a wagon train murdered by its supposed guide -- a vicious U.S. Army colonel gone rogue. Fearing the worst, the regiment heads out into the wilderness to verify the gruesome claims",6.2,77285,103231,123877
2449,Bunshinsaba vs Kayako,17/02/2017,84,"Boozer, skirt chaser, careless father. You could create your own list of reporter Steve Everett's faults but there's no time. A San Quentin Death Row prisoner is slated to die at midnight – a man Everett has suddenly realized is innocent.",6.6,96984,106833,235032
2450,A LARPer's Love Story,23/11/2011,85,Four female cons who have formed a band in prison get a chance to play at a police ball outside the walls. They take the chance to escape. Being on the run from the law they even make it to sell their music and become famous outlaws.,7.4,1488125,1785412,1249788
2451,"Liars, Fires and Bears",01/05/2012,99,"Veronica is brilliant, gifted and beautiful, but the handsome aristocrat she loves, Marco Venier, cannot marry her because she is penniless and of questionable family. So Veronica's mother, Paola, teaches her to become a courtesan, one of the exotic companions favored by the richest and most powerful Venetian men. Veronica courageously uses her charms to change destiny -- and to give herself a chance at true love.",5.8,1519101,3067253,6747956
2452,Congratulations,19/09/2012,95,"Adolf Hitler faces himself and must come to terms with his infamous career in an imaginary post-war subterranean bunker where he reviews historical films, dictates his memoirs and encounters Eva Braun, Josef Goebbels, Hermann Göring and Sigmund Freud.",6,1512475,3033168,6672969
2453,Endless Seconds,26/12/2022,91,"Mrs. Anna Leonowens and her son Louis arrive in Bangkok, where she has contracted to teach English to the children of the royal household. She threatens to leave when the house she had been promised is not available, but falls in love with the children.",5.6,1519965,1813523,7893383
2454,"I Love You, Apple, I Love You, Orange",15/05/2013,93,Doug and his pal Skeeter set's out to find the monster of Lucky Duck Lake. Though things get really out of hand when some one blurts out that the monster is real.,5,48346,170587,204704
2455,Resolution,05/06/2012,93,Video store clerk Ed agrees to have his life filmed by a camera crew for a tv network.,3.3,86411,94858,208687
2456,"Paraíso, una historia de heterónimos",16/09/2015,94,"Three minor delinquints (Danes, Ribisi, and Epps) are recruited by a cop (Farina) working undercover to bust a cop/drug ring. When the officer who recruited them is killed, they go above and beyond the call of duty to solve the murder; and bust the drug ring. Suffering the jibes, and ridicule of fellow officers; they struggle to save their names, and that of their deceased benefactor.",3.9,1504416,1821547,2185856
2457,Oma the Demonic,25/08/2022,85,"A manager hires Ray, off the books, to paint all the power towers in a 15-mile stretch of high-tension wires outside Sheffield. Ray's crew of men are friends, especially Ray with Steve, a young Romeo. Into the mix comes Gerry, an Australian with a spirit of adventure and mountain climbing skills. She wants a job, and against the others' advice, who don't want a woman on the job, Ray hires her. Then she and Ray fall in love. He asks her to marry him, gives her a ring. Steve's jealous; Ray's ex-wife complains that he spends on Gerry, not his own kids, and she predicts that Gerry won't stay around. Plus, there's pressure to finish the job fast. Economics, romance, and wanderlust spark the end.",2.6,1499591,2979372,3575246
2458,Amores incompletos,15/04/2023,99,The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman.,7.7,1495076,3055067,1374780
2459,Dead Dreams,15/10/2011,92,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",5.1,89979,142019,63908
2460,Evil E.T.,25/05/2011,85,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",5.7,1485992,2958954,961660
2461,Human Interest,26/07/2014,93,A dangerous love affair inspires a director to create the most spectacular and bodly seductive dance film ever made. 1998 Oscar Nominee Best Foreign Language Film.,5.2,96856,138476,525900
2462,"Many Masterpieces Become One: The General, with music by Scott Joplin",04/01/2010,83,"The remake of the 1970 Neil Simon comedy follows the adventures of a couple, Henry and Nancy Clark, vexed by misfortune while in New York City for a job interview.",5.1,86091,90887,109064
2463,The Surfer,10/08/2011,84,"In Lille, two penniless young women with few prospects become friends. Isa moves in with Marie, who's flat-sitting for a mother and child in hospital in comas following a car crash. Isa is out-going, unskilled, with hopes of moving south to warmer climes. Marie usually is either angry or detached. Then, while Isa begins to visit the child in whose flat they live, going to hospital to read to her, Marie slowly falls for a rich youth. At first Marie keeps him at bay, then she not only pursues him, she begins to dream he is her life's love. When Isa tries to warn Marie, their friendship flounders. How will Marie handle the inevitable? And once they lose the flat, where will they go?",4.8,1499942,1808209,2169850
2464,Viaje a Surtsey,04/07/2012,98,"A triangle: love, obsession, and choice. Pierre, a ladies' man who has little cash and no fixed residence, describes his best friend Benoît as the world's oldest 32-year-old. The shy, well-employed Benoît's life changes when he answers the personal ad of Marie, a 25-year-old who restores paintings. He's attracted to her and she likes his steady calm and his honest attention. They're soon a couple, and they include Pierre in their dinners, outings, and trips. What will happen when Pierre realizes that he too is in love with Marie?",4.9,1504839,2918680,3502416
